iso_code,glottocode
kos,kosr1238
kot,lagw1237
koy,koyu1237
kpc,curr1243
kpg,kapi1249
kpj,kara1500
kpk,kpan1246
kpm,koho1244
kpo,ikpo1238
kpr,kora1294
kps,tehi1237
kpt,kara1474
kpw,kobo1249
kpx,moun1252
kpy,kory1246
kpz,kups1238
kqi,koit1244
kqq,kren1239
kqy,koor1239
kqz,kora1292
kre,pana1307
krk,kere1280
krl,kare1335
kry,kryt1240
ksb,sham1280
ksd,kuan1248
ksf,bafi1243
ksh,kols1241
ksi,kris1246
ksq,kwaa1269
kss,sout2778
kst,winy1241
ksx,keda1252
ktd,koka1244
ktg,kalk1246
ktn,kari1311
ktu,kitu1246
ktv,east1236
ktw,kato1244
ktz,juho1239
kue,kuma1280
kui,kuik1246
kum,kumy1244
kun,kuna1268
kuq,kari1317
kut,kute1249
kuu,uppe1438
kuy,kuuk1238
kuz,kunz1244
kva,bagv1239
kvd,kuii1253
kvg,kuni1265
kvk,kore1273
kvn,bord1248
kvo,dobe1238
kvv,kola1285
kvw,wers1238
kwa,daww1239
kwd,kwai1243
kwe,nucl1595
kwi,awac1239
kwn,kwan1273
kwo,nucl1593
kwy,sans1272
kxa,kair1263
kyc,kyak1244
kyj,kara1487
kyl,kala1400
kyq,keng1240
kys,bara1370
kyx,rapo1238
kyz,kaya1329
kzf,daak1235
kzh,kenu1236
kzi,kela1258
kzj,coas1294
kzw,kari1255
lac,laca1243
lad,ladi1251
laf,lafo1243
lag,lang1320
lam,lamb1271
lav,latv1249
law,lauj1238
laz,arib1241
lbf,tina1246
lbo,lave1248
lbt,lach1248
lbu,labu1248
lby,lamu1254
lbz,lard1243
lch,luch1239
lcm,tung1290
lea,lega1249
lec,leco1242
lef,lele1264
leg,
les,lese1243
leu,kara1486
lew,ledo1238
lex,luan1263
lez,lezg1247
lgu,long1395
lha,laha1250
lhm,lhom1239
lic,hlai1239
lif,limb1266
lij,ligu1248
lis,lisu1250
liv,livv1244
liy,band1344
ljp,lamp1243
lkr,pari1256
lld,ladi1250
llp,nort2836
llu,lauu1247
lmc,nucl1327
lme,peve1243
lml,hano1246
lmu,lame1260
lmw,lake1258
lnb,mbal1255
lnd,lund1271
lnj,leni1238
lob,lobi1245
log,logo1259
loj,louu1245
lol,mong1338
los,loni1238
loy,lowa1242
loz,lozi1239
lrc,nort2645
lrg,lara1258
lti,leti1246
ltz,luxe1241
lua,luba1249
lub,luba1250
lun,lund1266
lut,lush1252
luy,
lvk,lavu1241
lwo,luwo1239
lww,lewo1242
lzz,lazz1240
mad,nucl1460
mag,maga1260
mak,maka1311
mau,huau1238
mbb,west2555
mbc,macu1259
mbe,mola1238
mbj,nade1244
mbl,maxa1247
mbn,maca1259
mbp,mala1522
mbq,mais1250
mbr,nuka1242
mbt,mati1250
mbw,mari1435
mca,maca1260
mcb,mach1267
mcd,shar1245
mcf,mats1244
mcg,mapo1246
mch,maqu1238
mcm,mala1533
mcn,masa1322
mco,coat1238
mcr,meny1245
mcs,mamb1294
mda,mada1282
mdd,mbum1254
mde,maba1277
mdf,moks1248
mdh,magu1243
mdi,mamv1243
mdm,mayo1261
mdq,mbol1247
mdr,mand1442
mdt,mber1257
mdw,mbos1242
mdx,dizi1235
mdy,male1284
mec,mara1385
mei,mido1240
mej,meya1236
mek,meke1243
mel,cent2101
