language_id,language_name,latitude,longitude,lineage
anci1244,Ancient Hebrew,31.7761,35.1725,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Northwest Semitic, Canaanite, Hebrewic"
sout1528,Serbian-Croatian-Bosnian,44.15,18.81,"Indo-European, Classical Indo-European, Balto-Slavic, Slavic, South Slavic, Western South Slavic"
habu1241,Habu,-8.76565,125.965,"Austronesian, Malayo-Polynesian, Timor-Babar, Eastern Timor, Central Timoric A"
anda1280,Andaman Creole Hindi,11.676,92.738,"Indo-European, Classical Indo-European, Indo-Iranian, Indo-Aryan, Middle-Modern Indo-Aryan, Continental Indo-Aryan, Midlands Indo-Aryan, Shaurasenic, Indo-Aryan Central zone, Western Hindi, Hindustani"
huic1243,Huichol,21.954,255.938,"Uto-Aztecan, Southern Uto-Aztecan, Corachol-Aztecan, Corachol"
nort2938,Northern Haida,54.004532,227.920743,Haida
hond1239,Honduras Sign Language,14.622,272.776,"Sign Language, L1 Sign Language, LSFic, ASLic, Honduras-Panama Sign"
hadi1240,Hadiyya,7.57377,37.7577,"Afro-Asiatic, Cushitic, East Cushitic, Highland East Cushitic, Sidaama-Hadiyya-Kambaata, Hadiyya-Kambaata, Hadiyyaic"
nort2747,Northern Qiandong Miao,26.6338,108.162,"Hmong-Mien, Hmongic, Nuclear Hmongic-Ho Ne, Nuclear Hmongic, East Hmongic, Northeastern Qiandongic Miao"
hebr1245,Modern Hebrew,31.1056,35.0179,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Northwest Semitic, Canaanite, Hebrewic"
herd1236,Herde,9.14343,14.9267,"Afro-Asiatic, Chadic, Masa, South Masa"
helo1243,Helong,-10.2647,123.377,"Austronesian, Malayo-Polynesian, Timor-Babar"
hehe1240,Hehe,-7.71572,35.7255,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Northeast Savanna Bantu, Southern Tanzania Highlands Bantu, Bena-Hehe"
heil1246,Heiltsuk-Oowekyala,51.7045,232.779,"Wakashan, Northern Wakashan, Kwakiutlan"
hemb1242,Hemba-Yazi,-7.77459,27.5913,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Luban, Luba-Kaonde, Lubaic, Bangubangu-Kasai"
